YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
2015,2.46,3.11,4.33,3.1
2015,27.62,24.98,26.23,30.59
2015,3.83,4.45,4.83,3.46
2015,1.53,2.13,8.03,1.32
2015,10.13,NA,49.95,10.92
2015,8.35,9.4,7.4,6.85
2015,3.32,4.26,1.29,4.77
2014,7.94,3.15,2.42,2.96
2014,6.1,7.57,5.65,7.65
2014,26.66,21.05,26.64,25.05
2014,2.4,1.85,4.21,1.95
2014,2.27,NA,NA,NA
2014,2.91,3.28,1.75,3.48
2014,NA,7.4,9.36,9.14
2014,38.32,21.43,24.21,36.21
2014,29.87,30.06,26.54,29.45
2014,8.54,6.92,6.87,8.98
2014,10.64,9.44,9.22,11.19
2014,32.18,NA,29.28,19
2014,NA,59.32,NA,NA
2014,31.29,29.76,15.4,30.85
2014,NA,4.45,3.65,10.4
2014,28.7,25.27,23.67,31.34
2014,44.3,35.74,31.58,32.23
2014,4.99,3.53,3,4.95
2014,3.22,2.99,0.1,4.67
2014,4.5,2.71,2.68,3.98
2014,32.17,25.53,26.54,31.76
2014,NA,NA,26.54,NA
2014,8.36,7.33,5.03,9.33
2014,NA,NA,NA,2.1
2014,NA,59.3,NA,NA
2014,17.52,16.17,17.41,18.65
2014,NA,NA,NA,2.05
2014,1.33,1.23,0.74,2.11
2014,NA,NA,NA,1.76
2014,NA,NA,NA,5.3
2014,NA,NA,NA,6.06
2014,15.55,NA,11.56,11.85
2014,NA,NA,NA,2.83
2014,NA,NA,NA,5.47
2014,NA,NA,NA,1.28
2014,NA,NA,NA,2.02
2014,NA,NA,NA,0.14
2014,NA,NA,NA,4.27
2014,NA,NA,NA,33.01
2014,NA,NA,NA,4.24
2014,NA,NA,NA,3.19
2014,NA,NA,NA,22.23
2014,7.37,5.91,4.53,10.83
2013,3.05,3.5,2.82,3.38
2013,10,12.8,9.38,16.11
2013,25.36,24.48,21.76,26.08
2013,NA,NA,NA,9.04
2013,2.73,3.3,0.58,5
2013,10.45,1.95,NA,NA
2013,2.8,3.4,2.76,6.6
2013,9.5,NA,5.75,9.9
2013,35.27,26.4,NA,36.6
2013,34.98,33.25,32.09,35.9
2013,7.82,8.45,NA,8.72
2013,2.9,9.7,NA,11
2013,NA,7.95,NA,NA
2013,NA,NA,NA,7.8
2013,NA,31.3,NA,31.48
2013,NA,NA,NA,59.32
2013,NA,NA,NA,12.02
2013,30.35,30.5,NA,31.7
2013,10.4,10.4,4.32,10.4
2013,33.15,30.94,NA,43.45
2013,34,39.1,31.45,33.9
2013,3.1,3.3,NA,3.5
2013,1.77,6.87,0.13,6.52
2013,2.75,3.43,NA,4.25
2013,NA,NA,NA,32.5
2013,38.9,31.2,NA,32.5
2013,6.83,7.61,5.01,7.36
2013,1.38,NA,NA,NA
2013,49.3,NA,59.3,49.31
2013,16.74,15.48,13.79,17.38
2013,NA,1.2,NA,NA
2013,1.39,2.04,0.54,2.97
2013,NA,2.25,NA,3.25
2013,NA,4.15,NA,5.36
2013,NA,6.2,NA,6.3
2013,12.5,14.5,7.47,12.68
2013,6.6,2.2,NA,NA
2013,NA,2.85,NA,3.04
2013,NA,2.43,NA,2.73
2013,NA,1.8,NA,2.21
2013,NA,18.85,NA,29.25
2013,NA,2.6,NA,2.38
2013,NA,3.27,NA,3.35
2013,NA,NA,NA,1.01
2013,NA,3.75,NA,3.85
2013,NA,3.98,NA,4.43
2013,NA,NA,7.41,NA
2013,6.37,9.27,3.88,9.09
2012,NA,3.9,3.25,2.41
2012,NA,NA,4.25,NA
2012,NA,20.59,24.66,24.01
2012,NA,10.47,9.04,9.04
2012,NA,1.25,2.62,1.36
2012,NA,2.25,2.37,1.48
2012,NA,3.35,2.99,1.23
2012,NA,15.39,23.18,21.3
2012,NA,27.09,32.37,29.14
2012,NA,6.76,8.8,8
2012,NA,7.3,9.38,8.74
2012,NA,29.69,40.6,28.55
2012,NA,36.63,49.84,42.62
2012,NA,29.02,30.07,29.35
2012,NA,3.1,1.74,4.22
2012,NA,17.27,22.8,21.18
2012,NA,25.19,39.78,30.95
2012,NA,3.3,3.47,3.09
2012,NA,5.12,7.26,4.18
2012,NA,2.48,3.28,2.62
2012,NA,NA,29.35,NA
2012,NA,22.86,29.88,28.56
2012,NA,4.14,5.87,5.77
2012,NA,45.88,58.68,45.65
2012,NA,8.2,14.76,11.53
2012,NA,NA,1.07,NA
2012,NA,NA,2.54,NA
2012,NA,NA,4.19,NA
2012,NA,NA,6.4,NA
2012,NA,NA,2.94,NA
2012,NA,NA,2.62,NA
2012,NA,NA,2.64,NA
2012,NA,NA,7.6,NA
2012,NA,NA,2.35,NA
2012,NA,NA,1.1,NA
2012,NA,NA,4.9,NA
2012,NA,5.17,8.28,4.14
2011,2,3.35,2.8,2.8
2011,6.95,8.85,6.49,NA
2011,23.81,20.56,20.55,23.76
2011,9.04,9.04,9.04,NA
2011,0.65,1.25,0.55,2
2011,1.82,2.25,2.15,2.1
2011,1.82,2.7,2.45,2.25
2011,19.93,12.91,14.38,20.91
2011,25.93,23.75,NA,25.35
2011,6.4,8.18,5.97,8.64
2011,7.7,7.01,6.5,NA
2011,29.03,28.44,28.78,NA
2011,37.49,30.82,36.14,31.65
2011,28.83,25,29.59,28.57
2011,2.82,3.85,3.58,4.26
2011,17.98,16.87,15.78,20.42
2011,28.43,31.65,25.63,29.5
2011,2.14,NA,2.42,2.6
2011,NA,4.87,1.93,5.87
2011,1.5,2.1,1.8,2.09
2011,NA,26.2,20.72,NA
2011,NA,4.91,3.13,7.32
2011,49.6,45.27,46.62,49.8
2011,1.87,3.22,2.4,4.07
2010,2.85,3.51,2.8,2.8
2010,9.64,7.18,8.55,14.4
2010,21.08,18.26,20.85,21.48
2010,8.1,6.67,8.42,8.72
2010,3.95,1.45,0.6,0.97
2010,11.45,11.65,NA,11.88
2010,2.92,3.05,2.5,3.05
2010,2.36,2.8,2.25,2.68
2010,16.02,12.08,12.02,18.68
2010,25.38,23.8,24.92,25.07
2010,8.95,9.42,8.51,11.04
2010,7.77,6.87,7.09,8.46
2010,31.13,NA,29.6,31.95
2010,32.64,27.09,30.77,30.67
2010,15.5,26.77,27.7,30.78
2010,3.15,3.95,3.25,3.4
2010,17.28,19,15.14,19.45
2010,23.92,23.65,31.68,26.24
2010,3.2,2.9,NA,5.3
2010,2.52,5.17,4.57,3.77
2010,1.58,1.75,NA,2.58
2010,27.3,27.4,27.65,27.38
2010,5.14,5.56,5.18,5.21
2010,41.1,41.65,38.25,42.41
